,Identifier,Number of Neighbors,Precision,Recall,F1 Score,Sensitivity,Specificity,Processing Time,Accuracy
0,KNN FROM SCRATCH,1,1.0,0.9904761904761905,0.9951219512195122,0.9904761904761905,0.0,1.7763842599999997,99.66666666666666
1,KNN SKLEARN,1,1.0,0.9904761904761905,0.9951219512195122,0.9904761904761905,0.0,0.001436179999999953,99.66666666666666
2,KNN FROM SCRATCH,2,0.980952380952381,0.99,0.9853658536585366,0.99,0.01,1.7247376799999998,99.0
3,KNN SKLEARN,2,0.99,0.99,0.99,0.99,0.005,0.0013587399999998695,99.33333333333334
4,KNN FROM SCRATCH,3,1.0,1.0,1.0,1.0,0.0,1.7683312599999994,100.0
5,KNN SKLEARN,3,1.0,0.9568148148148147,0.9777348445530796,0.9568148148148147,0.0,0.0011808400000006714,98.66666666666666
6,KNN FROM SCRATCH,4,1.0,1.0,1.0,1.0,0.0,1.7781375199999991,100.0
7,KNN SKLEARN,4,1.0,1.0,1.0,1.0,0.0,0.001290400000000602,100.0
8,KNN FROM SCRATCH,5,1.0,1.0,1.0,1.0,0.0,1.7853139799999966,100.0
9,KNN SKLEARN,5,1.0,1.0,1.0,1.0,0.0,0.0012988800000002243,100.0
10,KNN FROM SCRATCH,6,1.0,1.0,1.0,1.0,0.0,1.7661462600000006,100.0
11,KNN SKLEARN,6,1.0,0.9522066034651846,0.9747655347655348,0.9522066034651846,0.0,0.0013021399999999517,98.33333333333333
12,KNN FROM SCRATCH,7,1.0,0.9578947368421054,0.9764705882352942,0.9578947368421054,0.0,1.7609346799999996,98.66666666666666
13,KNN SKLEARN,7,0.949144385026738,0.94011544011544,0.9427270974639395,0.94011544011544,0.02442692096093893,0.0014018000000007192,96.33333333333334
14,KNN FROM SCRATCH,8,1.0,0.9923076923076923,0.996078431372549,0.9923076923076923,0.0,1.8248340000000014,99.66666666666666
15,KNN SKLEARN,8,0.9836666666666666,0.9425027870680044,0.9624450386215091,0.9425027870680044,0.011437908496732025,0.001277420000002394,97.0
16,KNN FROM SCRATCH,9,1.0,1.0,1.0,1.0,0.0,1.808939940000002,100.0
17,KNN SKLEARN,9,0.9733333333333334,0.9786666666666667,0.9756884822894676,0.9786666666666667,0.008792270531400966,0.00135506000000305,98.66666666666666
18,KNN FROM SCRATCH,10,1.0,1.0,1.0,1.0,0.0,1.780024499999999,100.0
19,KNN SKLEARN,10,0.992,0.9488888888888889,0.9688944099378883,0.9488888888888889,0.005714285714285714,0.0014328399999982365,97.66666666666666
20,KNN FROM SCRATCH,11,0.990909090909091,1.0,0.9953488372093023,1.0,0.005128205128205128,1.7815676600000017,99.66666666666666
21,KNN SKLEARN,11,0.9569129720853858,0.9764367816091954,0.9661194178135707,0.9764367816091954,0.02698418260139242,0.0013602199999979802,97.33333333333334
22,KNN FROM SCRATCH,12,0.9913043478260869,1.0,0.9955555555555555,1.0,0.005263157894736842,1.7702957999999966,99.66666666666666
23,KNN SKLEARN,12,0.9783625730994151,0.9805555555555555,0.9792281643345472,0.9805555555555555,0.009523809523809523,0.0015690400000011096,98.66666666666666
24,KNN FROM SCRATCH,13,1.0,1.0,1.0,1.0,0.0,1.7949963200000014,100.0
25,KNN SKLEARN,13,0.9824761904761905,0.9925925925925926,0.9872667336607905,0.9925925925925926,0.010555555555555556,0.0014508600000027628,98.99999999999999
26,KNN FROM SCRATCH,14,1.0,1.0,1.0,1.0,0.0,1.7807842599999986,100.0
27,KNN SKLEARN,14,0.9888888888888889,0.9535714285714286,0.9696316262353999,0.9535714285714286,0.004651162790697674,0.0013773200000002817,97.66666666666666
28,KNN FROM SCRATCH,15,1.0,0.9777777777777779,0.9882352941176471,0.9777777777777779,0.0,1.7749614199999968,99.33333333333334
29,KNN SKLEARN,15,0.9722222222222223,0.9516908212560387,0.9606641418656438,0.9516908212560387,0.015461973601508486,0.0014538200000032476,97.33333333333334
30,KNN FROM SCRATCH,16,1.0,1.0,1.0,1.0,0.0,1.79939940000001,100.0
31,KNN SKLEARN,16,0.9793650793650794,0.9614235588972431,0.970178341606913,0.9614235588972431,0.010006253908692933,0.0013796599999977843,98.0
32,KNN FROM SCRATCH,17,1.0,1.0,1.0,1.0,0.0,1.782525080000005,100.0
33,KNN SKLEARN,17,0.943640350877193,0.9343966533982014,0.9384022556390977,0.9343966533982014,0.023376991698035372,0.0014080200000023523,96.33333333333334
34,KNN FROM SCRATCH,18,1.0,0.993103448275862,0.9964912280701753,0.993103448275862,0.0,1.7778161799999963,99.66666666666666
35,KNN SKLEARN,18,0.9728729752770674,0.9685185185185183,0.9702364361727902,0.9685185185185183,0.016552623004235906,0.0014253600000074585,97.66666666666666
36,KNN FROM SCRATCH,19,1.0,0.9789473684210528,0.9888888888888889,0.9789473684210528,0.0,1.7764243599999987,99.33333333333334
37,KNN SKLEARN,19,0.9578947368421054,0.9578947368421054,0.9578947368421054,0.9578947368421054,0.01951219512195122,0.001657599999998638,97.33333333333333
38,KNN FROM SCRATCH,20,0.9882352941176471,1.0,0.9939393939393939,1.0,0.004545454545454545,1.7663847400000066,99.66666666666666
39,KNN SKLEARN,20,0.9441242131459523,0.9688852813852813,0.9562375731868931,0.9688852813852813,0.03121053353251496,0.0013860199999953693,97.0
40,KNN FROM SCRATCH,21,1.0,0.9923076923076923,0.996078431372549,0.9923076923076923,0.0,1.7768226599999992,99.66666666666666
41,KNN SKLEARN,21,1.0,0.9728506787330318,0.9859393939393939,0.9728506787330318,0.0,0.0014079799999990427,99.0
42,KNN FROM SCRATCH,22,1.0,0.9916666666666668,0.9957446808510639,0.9916666666666668,0.0,1.7845276000000012,99.66666666666666
43,KNN SKLEARN,22,0.9904761904761905,0.9690476190476192,0.9793385856489124,0.9690476190476192,0.005,0.001421859999999242,98.33333333333333
44,KNN FROM SCRATCH,23,1.0,0.9826086956521738,0.990909090909091,0.9826086956521738,0.0,1.7922378000000037,99.33333333333334
45,KNN SKLEARN,23,0.9836120401337792,0.9353664260986916,0.9579544332735821,0.9353664260986916,0.011437908496732025,0.001531919999990805,97.0
46,KNN FROM SCRATCH,24,0.9928571428571429,1.0,0.9963636363636363,1.0,0.006060606060606061,1.7837953800000037,99.66666666666666
47,KNN SKLEARN,24,0.9925925925925926,0.9418363917456476,0.9654965970755445,0.9418363917456476,0.006060606060606061,0.0015512999999998556,97.33333333333333
48,KNN FROM SCRATCH,25,1.0,1.0,1.0,1.0,0.0,1.7944098999999993,100.0
