,Identifier,Number of Neighbors,Precision,Recall,F1 Score,Sensitivity,Specificity,Processing Time,Accuracy
0,KNN FROM SCRATCH,1,1.0,1.0,1.0,1.0,0.0,1.9884986999999996,100.0
1,KNN SKLEARN,1,1.0,1.0,1.0,1.0,0.0,0.0023169600000000875,100.0
2,KNN FROM SCRATCH,2,1.0,1.0,1.0,1.0,0.0,1.9573132999999998,100.0
3,KNN SKLEARN,2,1.0,0.9804761904761905,0.9899937460913071,0.9804761904761905,0.0,0.00136622000000024,99.33333333333333
4,KNN FROM SCRATCH,3,0.9826086956521738,1.0,0.990909090909091,1.0,0.010256410256410256,2.0297081599999998,99.33333333333334
5,KNN SKLEARN,3,0.9826086956521738,1.0,0.990909090909091,1.0,0.010256410256410256,0.0014241399999995962,99.33333333333334
6,KNN FROM SCRATCH,4,1.0,1.0,1.0,1.0,0.0,1.9445132200000017,100.0
7,KNN SKLEARN,4,1.0,0.9759197324414716,0.9875555555555555,0.9759197324414716,0.0,0.0017099399999992216,99.33333333333333
8,KNN FROM SCRATCH,5,0.99,1.0,0.9948717948717949,1.0,0.004878048780487805,1.9514668599999994,99.66666666666666
9,KNN SKLEARN,5,0.99,1.0,0.9948717948717949,1.0,0.004878048780487805,0.001702579999999898,99.66666666666666
10,KNN FROM SCRATCH,6,1.0,1.0,1.0,1.0,0.0,1.9185100199999994,100.0
11,KNN SKLEARN,6,1.0,1.0,1.0,1.0,0.0,0.0014679200000031756,100.0
12,KNN FROM SCRATCH,7,1.0,1.0,1.0,1.0,0.0,1.8452195400000009,100.0
13,KNN SKLEARN,7,0.9355715815670049,0.981304347826087,0.9573720327616965,0.981304347826087,0.035590083927977224,0.0014957000000009658,97.0
14,KNN FROM SCRATCH,8,0.990909090909091,0.990909090909091,0.990909090909091,0.990909090909091,0.005263157894736842,1.9168045199999995,99.33333333333334
15,KNN SKLEARN,8,0.9904761904761905,0.9627070707070707,0.9762505932605599,0.9627070707070707,0.005263157894736842,0.0015126400000042394,98.33333333333333
16,KNN FROM SCRATCH,9,1.0,1.0,1.0,1.0,0.0,1.8490155799999968,100.0
17,KNN SKLEARN,9,0.9801932367149758,0.9759197324414716,0.9775900621118012,0.9759197324414716,0.01005656819610308,0.0014922000000012758,98.66666666666666
18,KNN FROM SCRATCH,10,1.0,1.0,1.0,1.0,0.0,1.879245660000001,100.0
19,KNN SKLEARN,10,0.9904761904761905,0.9752463054187193,0.9827120993974298,0.9752463054187193,0.005128205128205128,0.00152107999999771,98.66666666666666
20,KNN FROM SCRATCH,11,1.0,1.0,1.0,1.0,0.0,1.8742118000000034,100.0
21,KNN SKLEARN,11,0.9904761904761905,0.9875,0.9886703383162864,0.9875,0.005,0.00155572000000177,99.33333333333333
22,KNN FROM SCRATCH,12,1.0,1.0,1.0,1.0,0.0,1.8536476400000026,100.0
23,KNN SKLEARN,12,1.0,0.9148448043184885,0.9540404040404041,0.9148448043184885,0.0,0.0016542600000008178,97.33333333333334
24,KNN FROM SCRATCH,13,1.0,1.0,1.0,1.0,0.0,1.8994034800000008,100.0
25,KNN SKLEARN,13,0.9916666666666668,0.9626190476190477,0.9765384615384616,0.9626190476190477,0.005555555555555555,0.0015720600000008744,98.33333333333334
26,KNN FROM SCRATCH,14,1.0,1.0,1.0,1.0,0.0,1.9752797000000044,100.0
27,KNN SKLEARN,14,0.950812882646499,0.9389242336610757,0.9434650553564803,0.9389242336610757,0.02725730580210107,0.0016733999999985372,96.66666666666666
28,KNN FROM SCRATCH,15,1.0,1.0,1.0,1.0,0.0,1.9465758400000026,100.0
29,KNN SKLEARN,15,0.9612716640085062,0.990909090909091,0.9757077671363386,0.990909090909091,0.020231781002894834,0.0019477600000072925,98.33333333333333
30,KNN FROM SCRATCH,16,1.0,1.0,1.0,1.0,0.0,1.9403811800000086,100.0
31,KNN SKLEARN,16,0.982,0.9809090909090908,0.9810107942998307,0.9809090909090908,0.01043360433604336,0.0015877599999953417,98.66666666666666
32,KNN FROM SCRATCH,17,1.0,1.0,1.0,1.0,0.0,1.886784920000008,100.0
33,KNN SKLEARN,17,0.9621056721056721,0.981304347826087,0.9712685384231212,0.981304347826087,0.020493653633188516,0.0018091400000002978,98.0
34,KNN FROM SCRATCH,18,1.0,1.0,1.0,1.0,0.0,1.8571623400000021,100.0
35,KNN SKLEARN,18,0.9614285714285714,0.9727272727272727,0.9653122071726722,0.9727272727272727,0.01916376306620209,0.0015751799999975447,97.66666666666666
36,KNN FROM SCRATCH,19,0.992,0.992,0.992,0.992,0.005714285714285714,1.8774991800000123,99.33333333333334
37,KNN SKLEARN,19,0.9743076923076923,0.9824761904761905,0.9780721774638561,0.9824761904761905,0.016306620209059233,0.0016480199999932665,98.33333333333333
38,KNN FROM SCRATCH,20,1.0,1.0,1.0,1.0,0.0,1.8822620599999993,100.0
39,KNN SKLEARN,20,0.921115987460815,1.0,0.9580487182718105,1.0,0.05355171144644829,0.0016400200000020958,96.66666666666666
40,KNN FROM SCRATCH,21,1.0,1.0,1.0,1.0,0.0,1.8946045199999957,100.0
41,KNN SKLEARN,21,0.8770776936160696,0.9928571428571429,0.9307011152942304,0.9928571428571429,0.09571452799006978,0.0016455000000007657,94.0
42,KNN FROM SCRATCH,22,1.0,1.0,1.0,1.0,0.0,1.91305428,100.0
43,KNN SKLEARN,22,0.9539130434782608,0.8875706901793858,0.918723234490965,0.8875706901793858,0.020693163751987282,0.0016630000000077416,94.66666666666666
44,KNN FROM SCRATCH,23,1.0,1.0,1.0,1.0,0.0,1.9873340799999994,100.0
